channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
102,A4,10,0.37803881287766156,0.3515117646739569,0.7,7,0.29539358653921965,0.4019004253494834,0.4545587480408425,0.48255716271245147,False,
103,A4,10,0.11243355106054309,0.23457400821979,0.9,9,0.11757945982724868,0.1231691375898857,0.07389255891581227,0.09127090959559934,False,
104,A4,10,0.37750346538649593,0.40619407147193726,0.9,9,0.49757362497322577,0.5798014009154661,0.8164774834907617,0.7986280822997384,False,
105,A4,9,0.03211930705383627,0.08133048857479919,0.8888888888888888,8,0.301481052675365,0.34304277549701545,0.32963930835883315,0.36359472494669004,False,
106,A4,9,0.008409074221832567,-0.00922157399226185,0.5555555555555556,5,-0.045002664696609136,0.37991611418241655,0.2896201143592394,0.4088595205140445,False,
107,A4,10,0.1226006795760306,0.09621074855192895,0.8,8,0.12326332877257255,0.2936261883156059,0.15146393432412886,0.1977751393609947,False,8
108,A4,9,0.05467374570057508,0.03176321826487909,0.8888888888888888,8,0.394650193770895,0.4153213112241296,0.1677320067699776,0.4841812326498868,False,
109,A4,9,-0.012041597837785014,0.003563663990404108,0.5555555555555556,5,0.03383594060019631,0.5678700862942798,0.4236135298012274,0.6684088027405313,False,
110,A4,9,-0.01056859140249387,0.019703162382594456,0.5555555555555556,5,-0.05383386888875351,0.38958285584302443,0.14973977635782976,0.3263670563880971,False,
111,A4,9,0.07322731431885149,0.12657721317724901,0.7777777777777778,7,0.046603891021916165,0.15552944184577674,0.12379567523463042,0.16968191196742222,False,10
112,A4,9,0.0553574136970901,0.06483052542923594,0.8888888888888888,8,0.11047443953767806,0.12175977447617295,0.07839582255943472,0.13727632871363168,False,
113,A4,10,0.5637232774992187,0.5066719672854005,1.0,10,0.3789600429064143,0.2398455154081541,0.3938120366025324,0.2624311455168795,True,1
114,A4,10,0.1946099763718616,0.1711899644560546,0.6,6,-0.013654780778085695,0.3712618973002184,0.18617796138403617,0.3647107008276628,False,
115,A4,10,0.35726996806159694,0.38879015161225083,1.0,10,0.6013841464511478,0.4511535973230195,0.8991174848375196,0.7480633829227186,False,
116,A4,10,0.019514414975861188,0.25028473844688715,0.7,7,0.042204089314450174,0.4708587828653418,0.36056829235308474,0.3255282081423112,False,
117,A4,10,0.2739624368805646,0.2946494696563772,0.7,7,0.13893736840182472,0.1789796395439435,0.16686998670445058,0.20545006983236141,False,6
118,A4,10,0.1441103629389511,0.14278423825058592,0.6,6,0.1575313310222303,0.22776767365357875,0.26119680161091546,0.24913576450208402,False,
119,A4,10,0.3068558744823054,0.24883147491303356,0.6,6,0.3715174593460943,0.40902442209324785,0.4890600359075527,0.4958404693057846,False,
120,A4,10,0.11743958651211021,0.15633872486772596,0.8,8,0.08432866138019887,0.38115535343993484,0.2612404439845275,0.1871636243234837,False,
121,A4,10,0.10192358256907479,0.11099316319392771,0.6,6,0.057579443023518265,0.18581452796410067,0.06031253083394826,0.09305573093639846,False,
122,A4,10,0.07745305634139903,0.12209012008217576,0.6,6,-0.05477434251286419,0.43989852802035984,0.2102856165301431,0.24441373348990764,False,
123,A4,10,0.24916410332498914,0.1499231506844267,0.8,8,0.16970145131126863,0.2611025492083703,0.20203272442938083,0.20938379483065253,False,5
124,A4,10,0.2238134253096882,0.22304873216779658,0.6,6,0.05704336794013909,0.22172241484411806,0.15273899419975814,0.23266277719254308,False,
125,A4,10,0.1252301809205264,0.1879797558518109,0.5,5,-0.09185186865995124,0.23939936164793232,0.10013752326228095,0.20211804860963806,False,
126,A4,10,0.5042245834818447,0.4169558248609629,0.7,7,-0.011411917799444893,0.10499035030691924,0.06884092679966829,0.0721616673129247,True,
127,A4,10,0.04075475924603403,0.05768578435838553,0.7,7,0.018151776105851704,0.5354627033511431,0.33799329973374265,0.4616376799965195,False,
128,A4,10,0.21318230535241853,0.15023141783472574,0.8,8,0.414023642116563,0.37159656981420336,0.38599244005068106,0.4405941344441222,False,
129,A5,10,0.08921568725817254,0.10097689947371563,0.5,5,0.022941835761368354,0.6208167302641106,0.6173539548484546,0.7364419859193553,False,
130,A5,10,0.05670646278947243,0.043733602685230126,0.5,5,-0.046941814966185394,0.47756197378706217,0.37505343977670424,0.5135283917241492,False,
131,A5,10,0.011739429304662237,0.059203602963901175,0.7,7,0.2881470018301152,0.6854208301477569,0.6795324622940712,0.7102679394993252,False,
132,A5,10,0.2141112475359246,0.1916175093442188,0.9,9,0.573654983350901,0.4741507092042354,0.792914663769015,0.5962624441684539,False,
133,A5,10,0.17048259273758906,0.15345174406448447,0.8,8,0.5064466402362312,0.5011308258844714,0.6515217396842368,0.5707071718288964,False,
134,A5,10,0.15525918570769984,0.146448184208682,0.8,8,0.5309576595051565,0.7759421544030238,1.0,0.2399694884191501,False,
135,A5,10,0.2114814051769632,0.13218154476509922,0.6,6,0.1420032774330556,0.48620887050721107,0.3861802790346528,0.4940963043191404,False,
136,A5,10,0.6857154697779878,0.4665624409423935,0.9,9,0.6821943311163601,0.43629950839673476,0.9653936370567743,0.26735216134294515,True,
137,A5,10,0.12717003294368262,0.0779899767097107,0.6,6,0.020876465623962434,0.21410594719039822,0.13400014576535718,0.18124939203977758,False,
138,A5,9,-0.0044120358033678435,0.00036330414042807114,0.5555555555555556,5,-0.0206201242931658,0.567562182710028,0.48990119875118654,0.623564128702089,False,
139,A5,9,-0.0006886089841140445,0.009611450533945907,0.5555555555555556,5,0.1506998757102145,0.19645619548533816,0.16297228491522076,0.2349771391867389,False,
140,A5,9,0.05244289844167227,0.014759121736221683,0.5555555555555556,5,-0.08921879963844459,0.5793040303109308,0.3021777693092531,0.6699681883159934,False,
141,A5,9,0.133351685982767,0.05944252638179986,0.6666666666666666,6,0.0887540861259617,0.2676542440262516,0.16384119000366454,0.3228278360530372,False,
142,A5,9,0.055982884544523034,0.011553150741113403,0.5555555555555556,5,-0.021927647608651665,0.41040813981268975,0.22328013065556904,0.4393734692351292,False,
143,A5,10,0.04421851044053785,0.020264953070727187,0.7,7,0.019283452935226906,0.38789311229349577,0.1876397757544177,0.3246379113185832,False,
144,A5,9,0.024361529554225204,0.008205714415152714,0.6666666666666666,6,-0.2587850344204163,0.4217002720969005,0.35365250996394315,0.4980432548057633,False,
