channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,stable
89,A3,10,0.06944145913566857,0.03205996163934329,0.9,9,0.595214738815491,0.41585889186141556,False
90,A3,10,0.005650784267244928,0.03624143115548214,0.9,9,0.3046395531490823,0.3771270519701762,False
91,A3,9,0.18044738641879232,0.16362802490400657,1.0,9,0.49654195797720113,0.3785384515240856,False
92,A3,5,0.19889238211325544,0.23796726902100818,1.0,5,0.5609575367542174,0.39170154703387544,False
93,A3,10,0.35081640180687446,0.25680223439460637,0.8,8,0.579570669352427,0.43645045812747946,False
94,A3,10,0.31464881368655884,0.18747042844510353,0.8,8,0.41073404585714923,0.49560582712764584,False
95,A3,10,0.3411463503242067,0.14156463998214652,0.7,7,0.0982516758021887,0.7604729629664168,False
96,A3,9,0.0887063227364708,-0.020873627808882446,0.6666666666666666,6,0.15175266866713066,0.47147788643883076,False
97,A4,8,0.08256359299267618,0.015327056443181577,0.5,4,-0.23068501282034096,0.5298825575536279,False
98,A4,8,-0.042101273432243735,0.03485333473810392,0.625,5,0.23727281392856084,0.6237094246095355,False
99,A4,8,0.03836038567658155,0.031006929258473866,0.875,7,0.1939319359812942,0.31225688892586484,False
100,A4,8,-0.030279342214298996,-0.00598218679443989,0.75,6,0.1455960140220796,0.3595042895097,False
101,A4,5,0.047400247559650624,0.038683923464904624,0.6,3,0.001460481751077844,0.059912652075543034,False
102,A4,7,-0.12366878298702819,-0.02052296777384687,0.7142857142857143,5,0.0824859021868218,0.5663835216642009,False
103,A4,8,-0.05752852003209283,-0.018378208517308967,0.625,5,0.30094854998690307,0.5779627854331488,False
104,A4,7,0.02507054492367075,0.0076246143063721135,0.7142857142857143,5,-0.09319156711826537,0.24023462766172005,False
105,A4,7,0.3918118816741386,0.30298396964706953,0.5714285714285714,4,0.10643904490034244,0.42753346652162105,False
106,A4,7,0.047537418913085244,0.0032877197802170296,0.5714285714285714,4,-0.1584052979745117,0.3972666208392309,False
107,A4,8,-0.05441165830952756,-0.028693948058448486,0.75,6,0.2361001581367811,0.5177506286414676,False
108,A4,8,0.0352037941633598,0.005232933297889803,0.75,6,0.25436009623002126,0.5965993305101109,False
109,A4,8,-0.014806047408743497,0.007531339335303362,0.625,5,-0.004220731101270029,0.2917364182410573,False
110,A4,6,-0.06972856255496296,-0.03505505357730817,0.6666666666666666,4,-0.007813836424460133,0.4742423888768267,False
111,A4,7,0.01393120113622879,-0.03650283512126604,0.8571428571428571,6,0.3447145911362319,0.3712121858240162,False
