channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable
73,A3,9,0.10976511062580246,0.07671334878570951,0.5555555555555556,5,-0.00047833204878980736,0.2569937793432843,0.22004149410926305,0.28411097964438514,False,0,False
74,A3,9,0.038785465914578085,0.02584390869639869,0.5555555555555556,5,0.027814818253207824,0.1523046592839403,0.10821895530238489,0.17444665507560608,False,0,False
75,A3,9,0.023102293141504172,0.030598551867698883,0.5555555555555556,5,-0.10104364491524032,0.5941348613929618,0.2652794503737681,0.7347205496262319,False,1,False
76,A3,9,0.032020892414507014,0.006619978043312172,0.5555555555555556,5,0.058761141580048665,0.3793068762025447,0.10420336609885107,0.2951557092228651,False,0,False
77,A3,9,-0.012586871679789885,-0.004520279040133488,0.5555555555555556,5,-0.06438594549520721,0.5973070873617687,0.3017434504542052,0.7868512168309605,False,1,False
78,A3,9,0.032979451499903695,0.022700756145496236,0.5555555555555556,5,-0.08353875212990639,0.27689334317143327,0.05635007032248961,0.08742757209564825,False,0,False
79,A3,9,0.07711089771118892,0.05420771114011626,0.7777777777777778,7,-0.29659098535316214,0.32552897871814773,0.2554387229476232,0.3435430406724233,False,2,False
80,A3,9,0.03279626369683204,0.020024757826990144,0.5555555555555556,5,-0.009389792901800873,0.10934558814990639,0.06910080869697388,0.14177143581857116,False,0,False
81,A3,9,0.0055837666200978025,0.026784468492079584,0.6666666666666666,6,-0.17771365093628655,0.26632531025737605,0.16961364271109933,0.30992409513520364,False,4,False
82,A3,9,0.10441298654701209,0.0626855812617828,0.6666666666666666,6,-0.1293602913744657,0.21656960379260487,0.143999911721547,0.2529828174206775,False,0,False
83,A3,9,0.03147157046956929,0.01788792304694738,0.5555555555555556,5,0.0538814062886169,0.3683295021421037,0.049612547018128776,0.16111082153342887,False,0,False
84,A3,9,-0.014936035268111898,-0.0020848747666571106,0.6666666666666666,6,-0.03658200691847955,0.3518546505028151,0.088453441112314,0.13901132544716038,False,0,False
85,A3,9,-0.03742095568508207,-0.013721338951498699,0.6666666666666666,6,-0.16868342266729774,0.5234143313630124,0.5129620331924661,0.6260802879951478,False,0,False
86,A3,9,0.027270264985934822,0.03337828469404347,0.6666666666666666,6,0.13127178785829868,0.38704730696875006,0.106443675154876,0.27889783339138646,False,0,False
87,A3,9,-0.019392238596863804,-0.023325262806376812,0.8888888888888888,8,0.020527453962253455,0.3531833513816419,0.10443241673090349,0.08230790253832086,False,0,False
88,A3,9,-0.050403736109486494,0.0010462926858808333,0.6666666666666666,6,-0.0234797961678949,0.2376830570584389,0.13514040038051583,0.26703203881530047,False,0,False
89,A3,9,0.006027839037596431,0.03154018699369506,0.6666666666666666,6,0.29033370200499964,0.46118738024252554,0.08136350332114409,0.5157169611389667,False,0,False
90,A3,9,-0.002802155836211127,0.009267471191488581,0.6666666666666666,6,-0.052166258115994096,0.17808925291387318,0.128039104427095,0.18883666385674291,False,0,False
91,A3,9,-0.04690321509915884,-0.028231723619236784,0.5555555555555556,5,0.06201618760161171,0.43540516841600013,0.03339778484381161,0.3939323760373725,False,0,False
92,A3,9,0.015111817348381025,0.023141132943277163,0.6666666666666666,6,0.0074938112630148,0.40885787599920553,0.25980886373868356,0.43736728507091716,False,0,False
93,A3,9,-0.0064037653721593394,-0.027562036428469276,0.6666666666666666,6,0.20040625842279,0.2433639132506619,0.1390477154525747,0.3078219966467277,False,0,False
94,A3,9,-0.027073041880840622,-0.010285532782128709,0.6666666666666666,6,-0.051942462849666665,0.22730400028185682,0.1524110350286823,0.2527724328149285,False,0,False
95,A3,9,-0.03750375825641078,-0.0030023177976490722,0.8888888888888888,8,-0.25427617885728554,0.3171643178504865,0.08048790712965592,0.18387354548253637,False,0,False
96,A3,9,0.054865667567500206,0.020881360952865434,0.6666666666666666,6,0.013348265033962628,0.2221414457814823,0.2388756342497498,0.24070497134797,False,0,False
97,A4,9,-0.047230409313181135,0.08140589361556834,0.5555555555555556,5,0.09664255117577812,0.5750403017530633,0.5958266360934643,0.6838217655705867,False,6,False
98,A4,9,0.006449378431987986,0.041641201751652146,0.5555555555555556,5,-0.002602170182324127,0.6129222768122425,0.37084303692714427,0.6908851083709436,False,5,False
99,A4,9,-0.01971961187070155,0.17733407010868685,0.7777777777777778,7,-0.4504816246469106,0.523605258649991,0.5314322070191818,0.6303030643211738,False,6,False
100,A4,9,0.12686781325015478,0.10947933598605235,0.7777777777777778,7,0.20168370504904448,0.3397557472494627,0.19346176491845385,0.3097949336204091,False,5,False
101,A4,9,0.09094605761429303,0.13983295383202254,0.5555555555555556,5,-0.06448703082795583,0.18818233361117603,0.108380915109158,0.13620721265510366,False,5,False
102,A4,9,0.16637261558824717,0.18498166973284658,0.6666666666666666,6,0.07189115035413517,0.36758125619451676,0.08902104117814284,0.27086267377740014,False,6,False
103,A4,9,0.16449963974887272,0.18116797319421973,0.5555555555555556,5,-0.06971842302017253,0.28869671888980414,0.09452705036964283,0.217642823061575,False,8,False
104,A4,9,0.035077125203943765,0.08351664446324064,0.6666666666666666,6,0.12215841884744,0.511244127510698,0.26602065393137303,0.47270148223836855,False,5,False
105,A4,9,0.11139325020857309,0.07361119884994223,0.6666666666666666,6,0.03525900501987134,0.4158521212182214,0.1666405904680296,0.31413986795966514,False,5,False
