channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable
67,A3,10,-0.014146447616140093,0.019967374748161657,0.5,5,0.0008448994828960485,0.0025428912679417654,0.0014960363615073341,0.002659735344199554,False
68,A3,9,0.05637588365420158,-0.030709520017368697,0.5555555555555556,5,-0.0003509238979696549,0.0013891512388109028,0.0008961448036732432,0.0014123203891778075,False
69,A3,10,0.0443442346421333,0.0660763674512002,0.9,9,-0.0014125490150203482,0.0023699747191165436,0.001067597788617963,0.0028092881204912143,False
70,A3,9,-0.05442470293115026,0.0035455837669156397,0.5555555555555556,5,-0.0030261870103623395,0.006953309561024238,0.0012221631058546355,0.0025025221124498993,False
71,A3,10,0.12801247977376257,0.03342999227549987,0.6,6,0.006915515880021957,0.011184600170482194,0.0018977780435737528,0.010077012748883545,False
72,A3,9,0.03739431181936706,0.01235575680908379,0.5555555555555556,5,-0.0002719097857385258,0.00414413088199762,0.0018270112986291252,0.003276961252708992,False
73,A3,10,-0.01504475294480136,-0.008672429772359446,0.5,5,0.0008066426772740436,0.002368453264811269,0.0009792540252201753,0.002101044262623395,False
74,A3,9,-0.01209373539826691,-0.02497127007351211,0.5555555555555556,5,0.0013962158580961555,0.003758820761330798,0.0008893570085486055,0.0021426699688672805,False
75,A3,9,-0.04711283251248911,-0.0056492843967968056,0.6666666666666666,6,0.0002322959996884318,0.0032845455390135775,0.001652461629540955,0.0025221411580478286,False
76,A3,9,-0.03768710307300072,-0.016541152209500143,0.5555555555555556,5,-0.00018099341805018543,0.0020259919594243026,0.001060529421760095,0.0022306332493814054,False
77,A3,10,0.05625041413680778,0.07727268370166651,0.9,9,0.0035062691268373963,0.002876171721126946,0.003156134441291767,0.003497948683153249,False
78,A3,9,0.04141700932468134,0.04039200169254654,0.5555555555555556,5,-2.905003563484638e-05,0.0021137805345364706,0.001472428258603999,0.002325318610905145,False
79,A3,9,-0.010619275083461154,0.002091587805159166,0.7777777777777778,7,0.0014303609180500128,0.0021399859553558587,0.0007596997952506924,0.001227528030164939,False
80,A3,9,0.05519509341440229,0.045167473392339626,0.6666666666666666,6,0.0004456364588332999,0.0016496763032824672,0.0009121533179144228,0.0016177721953004069,False
81,A3,9,-0.0056877325047003015,0.05409111209780254,0.5555555555555556,5,0.00019970069563210192,0.0011675080987817996,0.001053748747918631,0.0014813963562830593,False
82,A3,9,0.1005158816089792,-0.00043514138061982326,0.6666666666666666,6,0.0003377666179610036,0.0018890724464945194,0.0013380656330194117,0.0020487490777137156,False
83,A3,9,0.08101927398220532,-0.00010302901399695842,0.7777777777777778,7,-0.0005361513837157849,0.003254506220241871,0.0017733404801770695,0.0018771942660845522,False
84,A3,9,0.026554366314873665,0.04824064526334328,0.8888888888888888,8,-0.00188159239269001,0.0016681743574081685,0.001990404074938083,0.0017086921504198926,False
85,A3,9,-0.01907638411870243,-0.015166105934010514,0.6666666666666666,6,-0.000551622657748138,0.002705763367823842,0.001674803339925976,0.0031621756072807766,False
86,A3,9,-0.023794706606473565,-0.0336184852511124,0.6666666666666666,6,9.635026897486682e-05,0.0018330182426275542,0.0009912308776488827,0.001368572440296669,False
87,A3,9,0.04893852689682786,0.037004368810393554,0.6666666666666666,6,0.00042498831147934715,0.0014751138441863542,0.0013234652323189152,0.0016778574024838963,False
88,A3,9,-0.01440670065043246,-0.0019436546736672576,0.6666666666666666,6,1.2094818758399537e-05,0.0034567084955250426,0.0019326214265012226,0.0031989037969462463,False
89,A3,10,0.05764668547283948,0.019146974822509377,0.6,6,0.0028892572927687638,0.004716434710623786,0.002543463217352832,0.004815878165918092,False
90,A3,9,-0.018155909337298895,0.007238254986459455,0.8888888888888888,8,-0.002590633215305627,0.00428264874492483,0.004102122599701168,0.0034272941869314673,False
91,A3,9,0.028374283917262252,-0.022445001795080254,0.6666666666666666,6,-0.00042008637944798845,0.003850797899872885,0.0020119481831312913,0.0031873878449588115,False
92,A3,9,-0.01898130645867501,-0.0060481238116445075,0.5555555555555556,5,-0.0006691942732173566,0.003972618433726995,0.0010640234949870527,0.0028680650453401773,False
93,A3,10,0.104156670457275,0.07940728901746394,0.6,6,0.0022807713359565885,0.003953500456176657,0.003141523271584709,0.0047627998470018895,False
94,A3,9,0.010801259007850002,-0.0012965050644020066,0.5555555555555556,5,-0.0037131320684780805,0.010254866889584342,0.0010937815916114652,0.0035871049346328154,False
95,A3,10,-0.05385757381076135,0.003124449192935181,0.6,6,0.000618856273347778,0.002097594865065611,0.0012776685174292826,0.0020896413460769732,False
96,A3,9,-0.05065709170389103,-0.03042195046701948,0.5555555555555556,5,-0.000480146940421543,0.002874457400275297,0.0008131342553623012,0.0032781372388368405,False
97,A4,10,0.47203586744828346,0.11575350760329184,0.8,8,0.006905365571610191,0.004835521855608678,0.00838533375530592,0.003743215203603368,False
98,A4,10,0.18691311745802835,0.10424844297125035,0.8,8,0.0025679345128206536,0.0030605426241208118,0.0031016631358882036,0.0034457282061597116,False
99,A4,10,0.5098087687600077,0.18774199472455677,0.8,8,0.008672254740647992,0.006319942889915347,0.011438214111672592,0.006267699610496081,False
100,A4,10,0.3685765966029168,0.13499352231653827,0.9,9,0.009074799684925588,0.006345140510382394,0.012567088369855432,0.007811047036003809,False
101,A4,10,0.37358399599005204,0.19239115796899903,0.8,8,0.013066359924718936,0.009782964398753882,0.01978044014546295,0.016077340533552576,False
102,A4,10,0.3780386443067627,0.18105568661608487,0.7,7,0.007591456445667865,0.0072280393943123696,0.011182391768864246,0.009714090503845188,False
103,A4,10,0.1124337841509739,0.23559752953469207,0.9,9,0.004044620912722516,0.0031925069495711608,0.0027715437976883754,0.003228507306390004,False
104,A4,10,0.37750342534378617,0.1844735611083901,0.9,9,0.014196831051453826,0.011634019345734537,0.018633260033497877,0.01464912131773135,False
105,A4,9,0.03211884427491921,0.0319375566720033,0.8888888888888888,8,0.0019841616871360108,0.0019083690948452248,0.0016186694968304274,0.002106182893783485,False
106,A4,9,0.008409265245508807,0.029645524015598113,0.5555555555555556,5,-0.00041477794583400364,0.002527552371781818,0.0012014439152091675,0.002605525628977778,False
107,A4,10,0.12260086891266134,0.07976246152395697,0.8,8,0.0011049627197449432,0.0018738116291701886,0.0014715111365220376,0.0016413570585959573,False
108,A4,9,0.054673236975902186,0.01960980323796716,0.8888888888888888,8,0.0017399788069125443,0.002120914113357048,0.002192234578657391,0.0013449479015654783,False
109,A4,9,-0.012041149776081575,0.025895291341318016,0.5555555555555556,5,0.00032167511223546506,0.0009436129599959843,0.0008753954948590972,0.0011202980508739158,False
110,A4,9,-0.010568206491325342,0.0398103921131675,0.5555555555555556,5,7.975922451928852e-05,0.0012361867734144096,0.0007184973456203739,0.0014438845697256639,False
111,A4,9,0.07322735333998036,0.060605354694533035,0.7777777777777778,7,0.0007730276138422881,0.0016239882215246266,0.0009528792431716823,0.0013057777912381132,False
112,A4,9,0.05535819007219365,0.04509728232857713,0.8888888888888888,8,0.001675833527801803,0.0016331370893575032,0.0014226511683192776,0.0018989621852306508,False
113,A4,10,0.5637235227937659,0.17105533791837618,1.0,10,0.012413217579427208,0.007730160903358163,0.01276170457365219,0.008920449239450748,False
114,A4,10,0.19460995432608102,0.023454031294328225,0.6,6,0.00041478294604282767,0.005301456970360638,0.003970127204213019,0.00700161735680988,False
115,A4,10,0.3572702890231874,0.14416340709037873,1.0,10,0.012902708050016745,0.010271040298534272,0.016867656283276904,0.01556336024765598,False
116,A4,10,0.019514220337973454,0.16146648624336868,0.7,7,0.00808790687897061,0.008137293993833552,0.012613359352824947,0.009811014857011238,False
117,A4,10,0.2739625333840104,0.12304393711401118,0.7,7,0.010963325657220215,0.010611131796961498,0.011932254099888417,0.013175147049180179,False
118,A4,10,0.14410959457318154,0.11296559171520099,0.6,6,0.0067082205076837,0.0074047000017616075,0.009910465676079897,0.008412547292969802,False
119,A4,10,0.3068558369113486,0.11391162322222011,0.6,6,0.00962027665668019,0.0099498107650502,0.015718551560346062,0.015913025014603416,False
120,A4,10,0.1174396460691277,0.095536543017808,0.8,8,0.005741517793261759,0.005131570266927194,0.005545972699496122,0.005378798235500197,False
121,A4,10,0.10192340776981355,0.05425123893071978,0.6,6,0.0009803566853440124,0.003507098330295675,0.0012506720201107776,0.0018585824519386914,False
122,A4,10,0.07745320649113785,0.040441776920946144,0.6,6,0.0035954133565748577,0.005443494584861894,0.0022018536350561424,0.007657020160581243,False
123,A4,10,0.249163964323113,0.12213885997147525,0.8,8,0.0035561417503231956,0.006747341140821782,0.0064841256633988275,0.008317478658009964,False
124,A4,10,0.2238142994096457,0.12152174267334491,0.6,6,0.0023976413355349777,0.0053932619892183425,0.002762333300870611,0.005309285441150716,False
125,A4,10,0.1252299402278555,0.1755712464555362,0.5,5,8.509771512581438e-06,0.00364846314703386,0.0015537247585885768,0.00337365708759565,False
126,A4,10,0.5042248459474428,0.21338105851858427,0.7,7,-0.0013759809977961762,0.0024642063937971304,0.0019032551589789099,0.0026397533029876522,False
127,A4,10,0.04075404526846844,0.11888566671334369,0.7,7,0.0038122118441609953,0.00783826331824691,0.008433531040294814,0.006415856471942651,False
128,A4,10,0.2131821498568852,0.13192321837836718,0.8,8,0.003984814038549176,0.004472424668112654,0.005383789154265685,0.004979120943523836,False
129,A5,10,0.08921627102288722,0.023495529860741722,0.5,5,9.930905784665174e-05,0.0032260617408659646,0.002775719824491538,0.0033914956201143097,False
130,A5,10,0.05670585296283036,0.061195697823487535,0.5,5,0.0004667265469416681,0.002556518262981746,0.001490109871550238,0.0028018656163450407,False
131,A5,10,0.0117391270497212,0.025167769431847148,0.7,7,0.0021564331288754534,0.0026344483224946024,0.0032325025125418683,0.0027613231629835,False
132,A5,10,0.21411105318081222,0.08355669280046722,0.9,9,0.007152482113416186,0.0066584759794938424,0.004892862611141945,0.007838507055576871,False
133,A5,10,0.17048268508291348,0.12330465061236504,0.8,8,0.004299775608413761,0.003585222336935532,0.005452679899408917,0.0037321369131462024,False
134,A5,10,0.15525992028581562,0.12114168771734016,0.8,8,0.0033355482257328333,0.0033547839087801953,0.004197790246914355,0.003684414274678799,False
135,A5,10,0.21148094950737623,0.12223963229335297,0.6,6,0.0005271940684379445,0.005379077856332701,0.0035232955449436406,0.004482006575252953,False
136,A5,10,0.6857157468245744,0.17374393043359565,0.9,9,0.009644805402043866,0.006731428051656348,0.010478044278218326,0.007270810332113337,False
137,A5,10,0.12716973017965308,0.06497210869035601,0.6,6,0.0004950614800937752,0.0019089708334847596,0.0005616598805632371,0.00111222116681293,False
138,A5,9,-0.004411727493061617,-0.01349251924943472,0.5555555555555556,5,-0.0017579880640645519,0.005241500714632949,0.0017988717212972215,0.005464242648141526,False
139,A5,9,-0.0006888274352143413,-0.002916054427738337,0.5555555555555556,5,-0.00034375041687175037,0.0021382911851670406,0.00040224475635698714,0.0009253664738679797,False
140,A5,9,0.05244302877784199,-0.014564949797888357,0.5555555555555556,5,0.0015938949220183328,0.004872337656722033,0.0007176228553826069,0.002189537022536296,False
141,A5,9,0.13335248469171856,0.08555011261992576,0.6666666666666666,6,0.0026307352196981793,0.0077322676707293645,0.0023381565299044854,0.004541809142185242,False
142,A5,9,0.05598274839663023,-0.029709344175812398,0.5555555555555556,5,0.005977914463695713,0.02253500109549415,0.0013838771619261521,0.006397452734921986,False
143,A5,10,0.04421754351608775,0.05349499753544873,0.7,7,0.0006730009582594386,0.003554919835258163,0.0011009139280927583,0.001347141137170695,False
144,A5,9,0.024361451320889363,0.004983630808446051,0.6666666666666666,6,0.0003894552772970546,0.0038811287759258294,0.0014500237042118622,0.0018433682095140248,False
145,A5,10,0.08431077886063507,0.14381479578563616,0.5,5,0.0019219848313215167,0.008795683778595775,0.006159503491243133,0.008850883624364838,False
146,A5,10,0.1601883643507648,0.1069417973492414,0.6,6,-0.0010142636589398064,0.0023657595534837717,0.001363115083830762,0.002726230167661524,False
147,A5,10,0.1490454334001048,0.07979927818648609,0.6,6,-0.00047660313486539585,0.002702115606840075,0.0015788317773386962,0.0020475573665417334,False
148,A5,9,-0.018920620569571694,0.002862835501306737,0.5555555555555556,5,0.0018981773425507814,0.0062345348499095385,0.0005253233540130709,0.0011347228193183366,False
149,A5,10,0.1181019336661065,0.10818715787038506,0.7,7,0.002620736765359603,0.003638682723599407,0.0015958584698770079,0.0026050272510428295,False
150,A5,10,0.13541429740322247,0.1535400193656606,0.5,5,-0.0003296516816940111,0.0018210498601826045,0.0011103293044037355,0.0022527798377422526,False
151,A5,10,0.09639741133713531,0.04501667030897688,0.7,7,0.00128453128303739,0.0019889286082385243,0.0017501901130874448,0.0026046612851866866,False
152,A5,10,0.18948860460593958,0.11113574108421405,0.7,7,0.0015589609363314582,0.0019104810266536993,0.00130630975290064,0.0021815040278179033,False
153,A5,10,0.0498444118950494,0.08994942990369968,0.7,7,-2.8509885991733886e-06,0.0033616435056017095,0.0015125358691390326,0.001830620721488551,False
154,A5,10,0.11328843584609863,0.137039101085284,0.5,5,0.0007072374590627443,0.002016634470178442,0.0017250481405097465,0.00251019683970162,False
155,A5,9,0.036249274151426654,-0.002229840257559322,0.5555555555555556,5,0.001980614323928854,0.004793891005732542,0.0008489112004006807,0.002362790089377398,False
156,A5,9,0.032494247749673036,0.006815096069463906,0.6666666666666666,6,-0.0008130210721018342,0.0019479684476117886,0.0017449131422555087,0.00235359999228571,False
157,A5,9,0.06445894723174261,0.021594126589312014,0.5555555555555556,5,0.0004205529943925345,0.0012112271603497851,0.0007529790293262697,0.0012568020844704935,False
158,A5,10,0.06830216033063655,0.03639694115517994,0.6,6,0.00033060978882926617,0.0033650168736320298,0.0006003307123753883,0.0012564815745644364,False
159,A5,10,0.19298803088884117,0.06294702984024032,0.6,6,0.0008945060974276086,0.004181668202863736,0.0013504616909801271,0.0026557625541717123,False
160,A5,10,0.10388974866114574,0.010443551795115236,0.7,7,0.0006097326667445106,0.003997994814946179,0.0006979339622410446,0.0017330760576511949,False
