channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
48,A2,9,0.012845589957626215,0.022348864325307242,0.6666666666666666,6,-0.25123322866115333,0.5769447426355299,0.40790187662915933,0.5908196949205144,False,
49,A2,10,0.035026534940475806,0.02180282734374937,0.6,6,-0.050206140134091096,0.5426433303681025,0.2779739600402404,0.5576777011634522,False,
50,A2,8,-0.032981626680716906,-0.019922122148474337,0.75,6,0.4897238396247511,0.40871031918429224,0.607526077550391,0.5002214688765317,False,
51,A2,9,0.013726364564084164,0.016693018024964697,0.5555555555555556,5,0.1061572993462891,0.27356634551384196,0.16809172781139298,0.2837250374010768,False,
52,A2,9,0.2217614690485356,0.1900703633505665,0.7777777777777778,7,-0.5278267865489484,0.513817899574779,0.767615412348186,0.5122421403237526,False,
53,A2,10,0.06444959928164694,0.007723738414162522,0.7,7,-0.3071034999534201,0.4599486379156903,0.5603302378067111,0.544419141959107,False,
54,A2,8,-0.0012892981745394145,0.01664604172845773,0.875,7,0.10312141848553763,0.4541629021252871,0.25528729389796423,0.29329372003456555,False,
55,A2,10,-0.010650147463173717,-0.006347416624307416,0.6,6,0.28358717294081315,0.484272306068397,0.5644458942790329,0.5672379234228389,False,
56,A2,3,-0.05320019897533371,-0.0751716394869361,0.6666666666666666,2,-0.6164042719256955,0.462820924922999,0.8838944992562908,0.9185761827354952,False,
57,A2,10,0.018675445031610304,0.016755523345672364,0.7,7,0.060640763682908494,0.3234168091487089,0.08184100786751614,0.10302966682711749,False,
58,A2,10,-0.0022424908292334317,-0.0001526463060712874,0.7,7,-0.17652650156191202,0.3224452954898692,0.14086617598824885,0.2413991227426262,False,
59,A2,10,0.14898140246305366,0.09551713215003034,0.8,8,0.20372111468091245,0.17668356709264108,0.2048202054869185,0.22581861354071403,False,
60,A2,10,0.020596146803210376,0.01869414222225221,1.0,10,0.7046140952593051,0.3065804357303823,0.7795280829852316,0.4038459037306642,False,
61,A2,7,0.3635825631290428,0.2609850382461845,1.0,7,0.3987196331446378,0.39845438365631897,0.18987030773775854,0.39193491673536596,False,
62,A2,10,0.3849390385213627,0.16702282620255238,0.9,9,0.3750539630765575,0.5954801565307003,0.5884517662991097,0.7535662302791044,False,
63,A2,10,0.6030528189127609,0.5015603064625818,0.9,9,0.28790725434229375,0.17041749851960145,0.25075025072223683,0.1672052365414733,True,
64,A2,10,0.2026011601004384,0.11907541630609304,0.8,8,-0.35303438943772797,0.4219442762149254,0.4397673190324033,0.5132069533098842,False,
65,A3,9,0.3288168504125064,0.1960232982461638,0.8888888888888888,8,0.5051585724941161,0.34325515012409025,0.5350266160037512,0.41657316540625744,False,
66,A3,9,0.34327129274907353,0.15752172090642755,0.8888888888888888,8,-0.10855728067167097,0.2279828821937098,0.1934797034677568,0.17815936611002464,False,
67,A3,7,0.37627916391866134,0.2030835057382373,1.0,7,0.45766022427531744,0.31683675930977495,0.5205092019571347,0.37844625005954935,False,
68,A3,7,0.4272314628878703,0.3278389585987387,0.8571428571428571,6,0.21705739803223675,0.19151850423634595,0.24231145288524644,0.25341327637158256,False,
69,A3,10,0.3587881503927539,0.10522468170566407,0.6,6,0.0003918354387188128,0.5031182376444392,0.356658194786052,0.5345158743207538,False,
70,A3,10,0.3576188350473002,0.2540154907481287,1.0,10,0.546003831343505,0.31058420688736865,0.43652482076238136,0.3727431862242483,False,
71,A3,9,0.7061692787014281,0.572864043574212,0.7777777777777778,7,0.27622781634375376,0.5787103166275438,0.42074105220094704,0.5912855053299022,True,
72,A3,10,0.01105657883581241,-0.004206537649179697,0.7,7,0.07897842318966915,0.4557084421626544,0.16031234882772272,0.3618392392795223,False,
73,A3,9,0.005447486340305392,-0.0054304756075058,0.5555555555555556,5,0.021089638480695973,0.49120748996828667,0.06077125834089571,0.41911291742070145,False,
74,A3,10,-0.008559477714430276,0.012121914718646392,0.8,8,0.418038926125284,0.4876082390657078,0.17351969759917663,0.8187697570902177,False,
75,A3,10,0.023584493120239004,-0.0034290199395379407,0.8,8,0.3359797525117639,0.4417591318370434,0.24037173520493277,0.4739116441817761,False,
76,A3,10,0.380323607956627,0.17200090639791385,0.7,7,0.35468282770046566,0.5291672112743092,0.3491244875130337,0.672163966852113,False,
77,A3,10,0.16000826533850285,0.06758329171042361,0.7,7,0.37019348027973203,0.5033141770897727,0.4297577279229343,0.5487604539395956,False,
78,A3,10,0.2695121293400006,0.1340504513042701,0.6,6,-0.07406079888804365,0.5198084910816316,0.2401463814992441,0.49727067401845204,False,
79,A3,9,0.19353385190757588,0.019087782108792358,0.6666666666666666,6,0.3320003047698334,0.4263066516282501,0.20225978260113733,0.5000176486538528,False,
80,A3,10,0.21599988375856216,0.16237448228039994,0.9,9,0.4981410076422832,0.37106152119994745,0.38578085203511037,0.4287687506519207,False,
81,A3,10,0.1695438505607098,0.18033362851470153,0.9,9,0.3890849731338374,0.3454174498957237,0.30571118921705365,0.3936390168829873,False,
82,A3,10,0.4915860928512726,0.30523288619635663,0.8,8,0.3121792043450971,0.2752485397911619,0.34938629759377093,0.3356604724647149,False,
83,A3,9,0.02740904379457061,0.00939324965883995,0.5555555555555556,5,-0.06764957511768131,0.49596061706659295,0.18194211044403383,0.42845670085899523,False,
84,A3,10,0.0244060024941441,0.008849439397687323,0.8,8,0.33774506924607073,0.4201288880137678,0.2978667725255983,0.49158268042504155,False,
85,A3,10,0.7248247094265737,0.4558884858298645,1.0,10,0.5064439729623568,0.28005702151513484,0.5548435260283895,0.3106585798780721,True,5
86,A3,9,0.12282092897968136,0.01775879436714714,0.7777777777777778,7,0.10482518222273235,0.37064506716478574,0.1966915553981469,0.4454834767448066,False,
87,A3,10,0.33443093827302045,0.275911818567429,1.0,10,0.6602935576021488,0.23328646589524804,0.692675096902069,0.2812089626725065,False,3
88,A3,10,0.09421528845942514,0.03748321620275753,0.8,8,0.2927233560587542,0.4244643665607682,0.27377665427260245,0.5589725697406072,False,
89,A3,9,-0.03140541985861678,0.009705332184212125,0.6666666666666666,6,0.3455050882670827,0.373227603476559,0.36967259918284257,0.4480961166892313,False,
90,A3,9,0.054554364446840406,0.00914949888430365,0.5555555555555556,5,0.0680652173853913,0.14068075658741766,0.07722164640401379,0.16013587103660273,False,
91,A3,8,0.06248270790068945,0.03776157577281078,1.0,8,0.2780215539316921,0.2889462773334982,0.13670948307879502,0.21723996379265798,False,
92,A3,3,0.07846878663814742,0.0167269357735988,1.0,3,-0.5166575165023898,0.3654073188635118,0.4333175595753223,0.5666824404246777,False,
93,A3,10,0.11511976778782136,0.09123703018823928,0.9,9,0.36729858096874,0.359987013594927,0.17771144302719868,0.3559878011502058,False,
94,A3,9,0.10275776732880458,0.023549448035773222,0.7777777777777778,7,0.20226373583154045,0.6899116160083061,0.7857847596218889,0.8262452829467494,False,
